number,title,author,commentsCount,reviewThreadsCount,reviewsCount
6335,added emoji in README.md,JikokuAice,1,0,0
6334,added emoji in README.md and added comments,JikokuAice,0,0,0
6333,chore(deps-dev): bump express from 4.18.2 to 4.19.2,dependabot,1,0,0
6331,[Release] v0.28.1,DigitalBrainJS,0,0,0
6317,fix:  remediate file protocol mismatch (#5648),skwigel,1,0,0
6312,removal(documentation): remove SECURITY.md,justindhillon,1,0,1
6307,fix(backport): Uncaught ReferenceError req is not defined at AbortSig…,justindhillon,1,0,0
6305,chore(deps): bump tj-actions/changed-files from 40 to 43,dependabot,1,0,0
6303,[Release] v1.6.8,github-actions,0,0,0
6300,fix(vulnerability): update follow-redirects to 1.15.6,Creaous,2,0,2
6296,feat(interceptor): merge feature pr #3783 into v1.x (custom return type support for interceptor),zhaojjiang,0,0,0
6280,test: delete and modify some files,yaxingson,0,0,0
6275,Dev,ych5680,0,0,0
6273,Corrected the import of EventEmittor,ADITYA-176,1,0,1
6271,fix: Update CHANGELOG.md for v0.x,TehZarathustra,0,0,2
6263,backport: custom params serializer support for v0.x,briwa,2,2,3
6261,fix: wrong variable name causing runtime error,sean-dickinson,1,0,1
6255,Create tea,VictoryWekwa,0,0,0
6252,fix(security): Synchronize security vulnerabilities resolved on 1.x to v0.x,qiongshusheng,2,0,0
6251,chore(deps-dev): bump ip from 1.1.8 to 1.1.9,dependabot,1,0,0
6248,chore(deps): bump actions/setup-node from 3 to 4,dependabot,2,0,0
6247,chore(deps): bump tj-actions/changed-files from 40 to 42,dependabot,1,0,0
6246,chore(deps): bump actions/dependency-review-action from 3 to 4,dependabot,1,0,0
6245,chore(deps): bump actions/checkout from 3 to 4,dependabot,2,0,0
6244,chore(deps): bump ffurrer2/extract-release-notes from 1 to 2,dependabot,1,0,0
6243,fix: fix AxiosHeaders conversion to an object during config merging,petrovmiroslav,1,0,0
6238,chore: update and bump deps,jasonsaayman,0,0,0
6235,Fix for high security vulnerability in follow-redirects,osortega,2,0,1
6231,chore(ci): add npm tag action;,DigitalBrainJS,0,0,0
6229,chore(ci): add npm tag action;,DigitalBrainJS,0,0,0
6227,feat(backport): added ability for paramsSerializer to handle a function;,DigitalBrainJS,0,0,0
6224,chore(ci): backported publish action;,DigitalBrainJS,0,1,1
6218,fix(types): export CJS types from ESM,remcohaszing,16,0,1
6211,[Release] v0.28.0,DigitalBrainJS,3,2,3
6204,[Release] v1.6.7,github-actions,0,0,0
6203,fix: capture async stack only for rejections with native error objects;,DigitalBrainJS,1,0,0
6199,[Release] v1.6.6,github-actions,0,0,0
6196,docs: Update README.md to point to current axios version in CDN links,mannoeu,1,0,1
6194,docs: update README responseEncoding types,ljkeller,1,0,1
6192,feat: Add config for ignoring absolute URLs (#5902),GethosTheWalrus,7,2,4
6191,Acknowledging the pull request feature. ,SauravGhm,2,0,2
6186,chore: remove unnecessary check,zh-lx,1,0,1
6178,"Revert ""fix: removed unused imports""",Apetree100122,0,0,0
6177,[Release] v1.6.5,github-actions,0,0,0
6176,fix(ci): refactor notify action as a job of publish action;,DigitalBrainJS,0,0,0
6175,fix(dns): fixed lookup error handling;,DigitalBrainJS,2,0,0
6173,[Release] v1.6.4,github-actions,0,0,0
6172,chore(ci): fix notify action;,DigitalBrainJS,0,0,0
6168,fix: package.json & package-lock.json to reduce vulnerabilities,jacek-rzrz,0,0,0
6167,Fixed formDataToJSON prototype pollution vulnerability;,DigitalBrainJS,1,1,1
6163,fix security volunerability in follow-redirects,gnesher,7,0,7
6151,[Release] v1.6.3,github-actions,0,0,0
6145,docs: update alloy link,jasonsaayman,0,0,0
6133,chore(ci): updated structured git ignore,SHUHAIB-T,0,0,0
6132,fix: Regular Expression Denial of Service (ReDoS),WillianAgostini,7,2,4
6129,"docs: split long lines, easier for reading",yionr,1,0,2
6125,That's it.,kendji,1,0,0
6116,chore(docs): Fix documentation for usage of interceptors in axios,zhravan,3,0,1
6092,Update isURLSameOrigin.js,BellYu-ecloubmobile,0,0,0
6091,fix: resolve CVE-2023-45857 in `v0.x` branch,lnjbr,19,0,0
6088,Update isURLSameOrigin.js,BellYu-ecloubmobile,0,0,0
